Periodical,Frequency of Publication,Price,Place of Publication,
The Bookman; a Review of Books and Life,Monthly,,New York,
New York Observer and Chronicle,,,New York,
Congregationalist,,,Boston,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
